Company Name,Company Website,Majors Hiring,Positions Available,Degree Required,Job Location,Online Application Web Page,Hiring Policy,Date of Attendance,Attending Receptions,Company Profile,Sponsor?,Building
SBM Offshore,www.sbmoffshore.com,"Chemical Engineering, Civil Engineering, Electrical Engineering, Materials Science and Engineering, Mechanical Engineering, Naval Architecture and Marine Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors",Southwest,https://hire.jobvite.com/CompanyJobs/Careers.aspx?k=JobListing&c=qSc9VfwS&v=1,1,"Tuesday, September 25th",No,"At SBM Offshore, our people have unrivalled experience and understanding of the needs of the global offshore energy industry. SBM Offshore is a leader in floating production and mooring systems, in production operations and in terminals and services. With over 6,000 employees worldwide, we can confidently supply floating production solutions through the entire product lifecycle, from engineering to procurement, construction, installation, operation and relocation.",,DC
SC Johnson,SCJohnson.com,Chemical Engineering,Summer Internship,"Masters, Bachelors",Midwest,,2,"Monday, September 24th",Yes,"For more than 120 years, SC Johnson has been one of the world's leading manufacturers of household cleaning products, home storage, air care and insect control. With iconic brands such as WINDEX®, GLADE®, OFF!®, PLEDGE®, RAID®, SCRUBBING BUBBLES®, ZIPLOC® and SHOUT®, and brands marketed outside the U.S. including AUTAN®, BAYGON®, BRISE®, and MR. MUSCLE® in more than 110 countries, SC Johnson continues to be a leader in consumer marketing innovation.",,DC
Schlumberger,careers.slb.com,"Chemical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering, Engineering Math/Physics, Industrial and Operations Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors","West Coast, Southwest, Northeast, Midwest, Southeast",,2,"Monday, September 24th",Yes,Schlumberger Limited (NYSE:SLB) is the leading oilfield services company for customers working in the international oil and gas industry. Schlumberger is an equal opportunity employer.,X,PC
Schneider Electric,http://www.us.schneider-electric.com/careers,"Computer Engineering, Computer Science, Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Mechanical Engineering","Full-time, Summer Internship",Bachelors,"West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",,1,"Monday, September 24th",Yes,"As a global specialist in energy management with operations in more than 100 countries, Schneider Electric offers integrated solutions across multiple market segments, including leadership positions in energy and infrastructure, industrial processes, building automation, and data centers/networks, as well as a broad presence in residential applications.",,DC
Seelio,www.seelio.com,Computer Science,Summer Internship,Bachelors,Midwest,,1,"Tuesday, September 25th",Yes,Online services company for students.,,PC
Severstal Dearborn LLC,Severstalna.com,"Chemical Engineering, Computer Engineering, Computer Science, Electrical Engineering, Environmental Engineering, Mechanical Engineering",Full-time,Bachelors,Midwest,,2,"Tuesday, September 25th",Yes,"Severstal North America Is a fully integrated steel manufacturer. The Company has been in the steel manufacturing business for more than seventy years and produces a variety of high quality, flat-rolled carbon steel products, including hot rolled, cold rolled and electrogalvanized steel. Severstal is a major supplier to the automotive industry.",,EECS
SGL Group,www.sglgroup.com,"Chemical Engineering, Civil Engineering, Electrical Engineering, Manufacturing Engineering, Mechanical Engineering",Full-time,Bachelors,"West Coast, Northeast, Northwest, Southeast",https://sglcarbon.peopleadmin.com/,1,"Tuesday, September 25th",Yes,"We are SGL Group – The Carbon Company, one of the worldwide leading manu-facturers of carbon-based products. We have an in-depth materials, production, applications and engineering exper-tise, a comprehensive graphite and carbon fiber based product portfolio, and an integrated value chain from carbon fibers to composites. We operate close to our customers through a global sales network and state-of-the-art production sites in Europe, North America and Asia.",,EECS
SHELL OIL COMPANY,WWW.SHELL.COM,"Aerospace Engineering, Chemical Engineering, Civil Engineering, Computer Science, Electrical Engineering, Environmental Engineering, Materials Science and Engineering, Mechanical Engineering, Naval Architecture and Marine Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",WWW.SHELL.COM,2,"Monday, September 24th",Yes,"We are a global group of energy and petrochemicals companies with around 90,000 employees in more than 80 countries and territories. Our innovative approach ensures we are ready to help tackle the challenges of the new energy future.",X,BBB
Southwest Research Institute,www.swri.org,"Computer Engineering, Electrical Engineering, Mechanical Engineering",Full-time,"PhD, Masters, Bachelors",Southwest,www.swri.jobs,2,"Tuesday, September 25th",No,"Southwest Research Institute (SwRI®) is an independent, nonprofit, applied engineering and physical sciences research and development organization. A partial listing of research areas includes antennas and propagation; automation, robotics, and intelligent systems; avionics, chemistry and chemical engineering; corrosion and electrochemistry; emissions research; engineering mechanics; fire technology; and fuels and lubricants.",,DOW
Space And Naval Warfare (SPAWAR) Systems Center Pacific (SSC PAC),https://jobs.spawar.navy.mil,"Computer Engineering, Computer Science, Electrical Engineering, Mechanical Engineering",Full-time,"PhD, Masters, Bachelors","West Coast, Southwest",https://jobs.spawar.navy.mil,3,"Tuesday, September 25th",No,"SPAWAR Systems Center Pacific is recruiting outstanding computer science, computer engineering, software engineering and electrical engineering candidates for positions in our New Professional Program. SSC Pac is the Navy's premier research and development laboratory for information technology, systems conceptualization, development and deployment. We offer opportunities in the innovative areas of command, control, communications, computers, intelligence, surveillance and reconnaissance.",,DOW
SpaceX,www.spacex.com,"Aerospace Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship, Co-Op","PhD, Masters, Bachelors","West Coast, Southwest, Southeast",www.spacex.com/careers,2,"Tuesday, September 25th",No,"SpaceX is revolutionizing access to space by developing a family of launch vehicles and spacecraft intended to increase the reliability and decrease the cost of space transportation. Founded in 2002 by Elon Musk, SpaceX recently made history and became the first commercial company to re-enter a spacecraft from low-Earth orbit. SpaceX is one of the best companies in the world for Software, Electrical, Mechanical and Aerospace Engineers looking to broaden their horizons!",,GA
Spot Trading LLC,www.spottradingllc.com,"Computer Engineering, Electrical Engineering","Full-time, Summer Internship",Bachelors,Midwest,http://www.spottradingllc.com/careers/campus-openings/,2,"Tuesday, September 25th",No,"Spot Trading, LLC, founded in 1999, is a proprietary trading firm based in Chicago's financial district. We trade options on equities and broad market indices. We have distinguished ourselves amongst our peers in the industry by developing world-class trading technology, an innovative trading model, and a collaborative culture. Our team is comprised of a wide variety of talented professionals, including traders, equity research analysts, financial engineers, technologists, and financial analysts. We are proud to feature an Education team, which is a driving force in developing employees in both industry knowledge and technical skills. Our approach utilizes internal and external resources that provide a combination of traditional classroom and hands-on learning opportunities. To be a part of our future, Spot is always looking for bright, entrepreneurial-minded individuals seeking to achieve, innovate and excel. Join us in meeting the next set of challenges by visiting www.spottradingllc.com to learn more.",,PC
SPX Corporation,www.spx.com,"Electrical Engineering, Industrial and Operations Engineering, Mechanical Engineering",Full-time,"Masters, Bachelors","Northeast, Midwest, Southeast",http://www.spx.com/en/careers-and-employment/campus-recruiting/,2,"Monday, September 24th",No,"Based in Charlotte, North Carolina, SPX Corporation (NYSE: SPW) is a global Fortune 500 multi-industry manufacturing leader with over $5 billion in annual revenue, operations in more than 35 countries and approximately 18,000 employees. The company's highly-specialized, engineered products and technologies are concentrated in three areas: Flow Technology, infrastructure, and vehicle services. Many of SPX's innovative solutions are playing a role in helping to meet rising global demand for electricity, processed foods and beverages and vehicle services, particularly in emerging markets. The company's products include food processing systems for the food and beverage industry, power transformers for utility companies, cooling systems for power plants; and diagnostic tools and equipment for the automotive industry. For more information, please visit www.spx.com.",,EECS
"Square, Inc.",www.squareup.com,"Computer Engineering, Computer Science, Electrical Engineering","Full-time, Summer Internship, Co-Op","Masters, Bachelors",West Coast,www.squareup.com/students,1,"Tuesday, September 25th",Yes,"Square is revolutionizing millions of everyday transactions between buyers and sellers with its free credit card reader for iPhone, iPad, and Android devices. Founded in 2009, and headquartered in San Francisco, Square is currently available in the U.S. More information is available at squareup.com.",X,DOW
SRT Solutions,www.srtsolutions.com,"Computer Engineering, Computer Science","Full-time, Summer Internship",Bachelors,Midwest,,2,"Monday, September 24th",Yes,"SRT Solutions, headquartered in Ann Arbor, Mich., writes software for growing and innovative companies that see software as a strategic asset. It uses the best available tools and processes to provide customized, reliable, secure software. SRT writes software for mobile, tablets, web, desktop, and enterprise systems, focusing on high-value applications that have the potential to change a client's market. For more information, visit www.SRTSolutions.com.",,BBB
State Farm Insurance,http://www.statefarm.com/about/careers/it,"Automotive Engineering, Computer Engineering, Computer Science, Electrical Engineering, Financial Engineering",Summer Internship,,Midwest,,2,"Tuesday, September 25th",Yes,"On the surface, State Farm is a top insurance and financial services provider. Dig deeper and you'll find vast information technology required to do what we do, on the massive scale that we do it. And the State Farm Systems Department is at the center of it all. If you're ready to step up to the plate in one of the nation's largest IT shops, you've come to the right place – a place consistently ranked among the 100 Best Places to Work in IT* and frequently recognized as an employer of choice.",,PC
Stryker Corporation,http://www.stryker.com/en-us/careers/student/index.htm,"Electrical Engineering, Interdisciplinary Engineering (Undergraduate), Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors","West Coast, Southwest, Northeast, Midwest",http://jobs.brassring.com/en/asp/tg/cim_searchresults.asp?partnerid=11721&siteid=78,2,"Monday, September 24th",Yes,"Stryker is one of the world's leading medical technology companies and is dedicated to helping healthcare professionals perform their jobs more efficiently while enhancing patient care. The Company provides innovative orthopaedic implants as well as state-of-the-art medical and surgical equipment to help people lead more active and more satisfying lives. For more information about Stryker, please visit www.stryker.com.",,CC
T. Rowe Price,www.troweprice.com/careers,"Aerospace Engineering, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Financial Engineering, Industrial and Operations Engineering, Interdisciplinary Engineering (Undergraduate), Materials Science and Engineering, Mechanical Engineering",Full-time,"Masters, Bachelors",Northeast,www.troweprice.com/careers,2,"Monday, September 24th",Yes,"Founded in 1937, T. Rowe Price Group, Inc. (www.troweprice.com) is a global investment management organization. The organization provides a broad array of mutual funds, subadvisory services, and separate account management for individual and institutional investors, retirement plans, and financial intermediaries. T. Rowe Price's disciplined, risk-aware investment approach focuses on diversification, style consistency, and fundamental research.",,CC
Tata Consultancy Services,www.tcs.com,"Computer Engineering, Computer Science, Electrical Engineering, Mechanical Engineering",Full-time,Bachelors,Midwest,,2,"Tuesday, September 25th",No,"Tata Consultancy Services is an IT services, consulting and business solutions organization that delivers real results to global business, ensuring a level of certainty no other firm can match. By becoming a TCS Employee, you will be joining a world-class team with over 238,500 of the world's best-trained IT Consultants in 42 countries, revenue of $10.17 Billion for the fiscal year ending March 31, 2012, and a retention rate of 99% among our 1,000+ clients.",,CO
Technology Services Group,http://www.tsgrp.com,"Computer Engineering, Computer Science, Electrical Engineering, Interdisciplinary Engineering (Undergraduate), Interdisciplinary Programs","Full-time, Summer Internship","Masters, Bachelors",Midwest,http://www.tsgrp.com/careers/,1,"Monday, September 24th",No,"Technology Services Group (TSG) is a systems consulting firm, with offices located in Chicago's loop area, specializing in web development as it relates to content management and knowledge management. We also have Open Source product offerings that we are aggressively developing and marketing. Our clientele consists mostly of Fortune 500 companies representing multiple industries (financial services, manufacturing, pharmaceutical, etc.).",,PC
TechSmith Corporation,www.techsmith.com,"Computer Engineering, Computer Science","Full-time, Summer Internship","PhD, Masters, Bachelors",Midwest,www.techsmith.com,1,"Tuesday, September 25th",No,"TechSmith is a software company based just outside of Lansing, Michigan in Okemos. Our software is innovative, fun and easy to use. And with over 200 smart, creative and hard-working employees, it just keeps getting better, and better. We're always looking for the latest and greatest in our software, and our employees. So who knows, maybe you'll come up with our next best thing?",,EECS
Tefen,tefen.com,"Biomedical Engineering, Industrial and Operations Engineering, Manufacturing Engineering",Full-time,"Masters, Bachelors",Northeast,,3,"Monday, September 24th",Yes,"Tefen USA, an International Management Consulting firm is in the business of driving organizations towards achieving performance excellence. Founded in 1982, the company has amassed a reputation for improving and enhancing performance in some of the world's largest and fastest growing companies. From strategy through implementation, our hands-on approach has achieved success in delivering quantifiable and value- driven results. Our partnership with our clients ensures a lasting effect which develops their assets and knowledge. Tefen is headquartered in Tel- Aviv, Israel and is publically traded on the Tel- Aviv stock exchange (TASE). The company has global presence in the United States and Europe.",,GA
Texas Instruments,www.careers.ti.com,"Computer Engineering, Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship, Co-Op","PhD, Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",www.careers.ti.com,1,"Monday, September 24th",Yes,"Texas Instruments Incorporated provides innovative semiconductor technologies to help our customers create the world's most advanced electronics. Our analog, embedded processing and wireless technologies permeate daily life in many different ways, from digital communications and entertainment to medical services, automotive systems and wide-ranging applications in between. Texas Instruments helps customers solve problems and develop new electronics that make the world smarter, healthier, safer, greener and more fun Headquartered in Dallas, Texas, TI has manufacturing, design or sales operations in more than 30 countries. Everyone at TI works together to create an environment where people feel valued and are treated with respect, dignity and fairness. We are proud of our award-winning workplace, and over the years have received a great deal of recognition as an excellent employer.",,GA
The Advisory Board Company,https://www.advisory.com/,"Computer Engineering, Computer Science, Engineering Math/Physics",Full-time,"Masters, Bachelors","West Coast, Southwest, Northeast, Midwest",https://www.advisory.com/careers,1,"Tuesday, September 25th",Yes,"The Advisory Board Company (NASDAQ: ABCO) is a global research, consulting, and technology firm helping hospital and university executives to better serve patients and students. We provide strategic guidance, actionable insights, web-based software solutions, and comprehensive implementation and management services. We deeply appreciate the trust that our members place in us, and we seek to serve them with generosity—and beyond expectation—in all that we do.",,DC
The Bartech Group,https://www.bartechgroup.com,"Aerospace Engineering, Automotive Engineering, Biomedical Engineering, Computer Engineering, Electrical Engineering, Engineering Math/Physics, Environmental Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Mechanical Engineering, Pharmaceutical Engineering",Full-time,"Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",https://www.bartechgroup.com/home/,2,"Tuesday, September 25th",Yes,"Bartech is a leading global workforce management and staffing solutions provider to Global 500 firms. Today we bill over $2 billion in revenue for clients worldwide who trust us to design, execute and manage sophisticated workforce management solutions, large-scale staffing engagements and strategic Business Process Outsourcing and consulting engagements.",,DC
The Boeing Company,boeing.com/careers,"Aerospace Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",boeing.com/careers,2,"Tuesday, September 25th",Yes,"Boeing is the world's leading aerospace company and the largest manufacturer of commercial jetliners and military aircraft combined. Additionally, Boeing designs and manufactures rotorcraft, electronic and defense systems, missiles, satellites, launch vehicles and advanced information and communication systems.",X,PC
The Keystone Group,www.thekeystonegroup.com,"Aerospace Engineering, Atmospheric, Oceanic, and Space Sciences, Automotive Engineering, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Environmental Engineering, Financial Engineering, Industrial and Operations Engineering, Integrated Microsystems Engineering, Interdisciplinary Engineering (Undergraduate), Interdisciplinary Programs, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Naval Architecture and Marine Engineering, Nuclear Engineering and Radiological Sciences, Pharmaceutical Engineering",Full-time,"Masters, Bachelors",Midwest,,3,"Tuesday, September 25th",No,"The Keystone Group is a results-oriented management consulting firm. Our small, experienced teams work with manufacturing and distribution clients to develop and execute strategy, improve operations, restructure finances, and integrate acquisitions. For over twenty years, we have been building long-term relationships with our clients by helping them identify and implement solutions to their most complex business issues.",,DC
The Timken Company,http://www.timken.com/en-US/Pages/Home.aspx,"Electrical Engineering, Industrial and Operations Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship, Co-Op","Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",http://www.timken.com/en-US/careers/Pages/default.aspx,2,"Tuesday, September 25th",Yes,"We develop technical solutions and services that enable equipment to run harder, faster, and longer. We are experienced in materials science, steel making, and friction management. We have an expertise in mechanical power transmission, antifriction bearing design, tribology, metallurgy, clean steel making, precision manufacturing, metrology, and engineered surfaces and coatings. We are located in Canton, OH, with 21,000 global associates, and business in over 30 countries.",,PC
Theranos,www.theranos.com,"Biomedical Engineering, Computer Engineering, Electrical Engineering, Manufacturing Engineering, Mechanical Engineering",Full-time,"PhD, Masters, Bachelors",West Coast,,1,"Tuesday, September 25th",No,"Theranos is a healthcare systems company. By revolutionizing the way we collect, analyze and communicate health information, we are transforming the way therapies and health-related information are developed and delivered to consumers. By empowering providers, physicians, patients, and consumers alike with better health information, we have created an integrated infrastructure for real-time testing, decision making and individualized therapy.",,EECS
Thomson Reuters,http://thomsonreuters.com,"Computer Engineering, Computer Science","Full-time, Summer Internship","Masters, Bachelors",Midwest,http://careers.thomsonreuters.com,2,"Tuesday, September 25th",No,"We are the leading source of intelligent information for the world's businesses and professionals, providing customers with competitive advantage. We deliver this must-have insight to the financial and risk, legal, tax and accounting, intellectual property and science and media markets, powered by the world's most trusted news organization.",,EECS
ThoughtWorks,thoughtworks.com,"Computer Engineering, Computer Science",Full-time,"Masters, Bachelors","West Coast, Southwest, Northeast, Midwest, Southeast",http://join.thoughtworks.com/,1,"Tuesday, September 25th",Yes,ThoughtWorks is a global IT consultancy working on custom software projects for our clients. How do we do this? We create a social and commercial community whose purpose is to revolutionize software creation and delivery while advocating for positive social change in the world.,,BBB
Tishman Construction,www.tishmanconstruction.com,"Civil Engineering, Electrical Engineering, Mechanical Engineering",Full-time,"Masters, Bachelors","West Coast, Northeast, Northwest, Midwest",http://www.aecom.com/Careers,1,"Monday, September 24th",Yes,"Tishman Construction Corporation is one of the world's leading builders. In July 2010 Tishman merged with AECOM (NYSE: ACM), a global provider of professional technical and management support services. Tishmam is known for successfully managing the complexities of construction, innovative approaches to building, historic restoration, and sustainable-building leadership.",X,DOW
Tognum America Inc.,www.tognumamericacareers.com,"Automotive Engineering, Civil Engineering, Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Naval Architecture and Marine Engineering","Full-time, Summer Internship, Co-Op","Masters, Bachelors","West Coast, Northwest, Midwest, Southeast",Tognum America Inc. is an equal opportunity employer. Only candidates who apply via the company website will be considered. www.tognumamericacareers.com,1,"Tuesday, September 25th",Yes,"As the North American hub of Tognum AG, we are a unique combination of German and American culture, based soundly on over 100 years of technological leadership. Our roots run deep on both sides of the Atlantic, from the legacy 2-Cycle and Series 60 engines of our Detroit Diesel heritage to MTU's Series 2000 and Series 4000 engines that first brought these two world-class companies together in the off-highway engine market.",,DOW
Toyota Motor Engineering & Manufacturing North America,www.toyota.com,"Civil Engineering, Mechanical Engineering",Co-Op,"Masters, Bachelors",Midwest,,2,"Monday, September 24th",No,"TEMA is responsible for Toyota's engineering design, development, R&D, and manufacturing activities in the U.S., Canada and Mexico. TEMA operates 14 parts and vehicle manufacturing plants across North America.",,GA
TransCanada Corporation,www.transcanada.com,"Electrical Engineering, Environmental Engineering, Mechanical Engineering","Full-time, Summer Internship, Co-Op",Bachelors,Southwest,http://www.transcanada.com/student-opportunities.html,1,"Tuesday, September 25th",No,"TransCanada will be the leading energy infrastructure company in North America, with a strong focus on pipelines and power generation opportunities located in regions where we have or can develop significant competitive advantages.",,PC
TripAdvisor,www.tripadvisor.com,"Computer Science, Computer Engineering","Full-time, Summer Internship, Co-Op","Masters, Bachelors","Northwest, Northeast",,1,"Tuesday, September 25th",No,"TripAdvisor® is the world's largest travel site, enabling travelers to plan and have the perfect trip. TripAdvisor offers trusted advice from real travelers and a wide variety of travel choices and planning features with seamless links to booking tools. TripAdvisor branded sites make up the largest travel community in the world, with more than 56 million unique monthly visitors*, and over 75 million reviews and opinions. The sites operate in 30 countries worldwide.",,EECS
Twilio,http://www.twilio.com/,"Computer Engineering, Computer Science","Full-time, Summer Internship","PhD, Masters, Bachelors",West Coast,http://www.twilio.com/company/jobs,1,"Tuesday, September 25th",Yes,"Twilio provides infrastructure APIs for businesses to build scalable, reliable voice and text messaging apps.",,DOW
Unilever,www.unileverusa.com,"Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Industrial and Operations Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Co-Op","Masters, Bachelors",Northeast,,2,"Monday, September 24th",Yes,"Unilever is one of the world's leading suppliers of fast moving consumer goods with strong operations in more than 100 countries and sales in 180. With products that are used over two billion times a day around the world, we work to create a better future every day and help people feel good, look good and get more out of life with brands and services that are good for them and good for others. In the United States, Canada and the Greater Caribbean (Trinidad & Tobago, Dominican Republic, Puerto Rico) the portfolio includes brand icons such as: Axe, Becel, Ben & Jerry's, Bertolli, Blue Band, Breyers, Caress, Consort For Men, Country Crock, Degree, Dove personal care products, fds, Good Humor, Hellmann's, I Can't Believe It's Not Butter!, Just for Me!, Klondike, Knorr, Lever 2000, Lipton, Motions, Nexxus, Noxzema, OMO, Pond's, Popsicle, Promise, Q-Tips, Ragu, Skippy, Slim-Fast, Soft & Beautiful, St. Ives, Suave, tcb, TIGI, TRESemmé, Vaseline, and Wish-Bone. All of the preceding brand names are registered trademarks of the Unilever Group of Companies. Dedicated to serving consumers and the communities where we live, work and play, Unilever employs more than 13,000 people across North America – generating nearly $10 billion in sales in 2010. For more information, visit www.unileverusa.com, www.unilever.ca, or www.unilevercaribbean.com.",,BBB
Union Pacific Railroad,www.unionpacific.jobs,"Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Environmental Engineering, Industrial and Operations Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors","West Coast, Southwest, Northwest, Midwest",,2,"Monday, September 24th",Yes,"Union Pacific Railroad is a high tech, Fortune 200 transportation company that is an integral part of the very foundation of our nation's economy. We operate in 23 states over the western two-thirds of the nation providing a fuel-efficient, environmentally responsible and safe mode of freight transportation.",X,PC
United States Postal Service,www.usps.com,"Chemical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering, Engineering Math/Physics, Environmental Engineering, Industrial and Operations Engineering, Integrated Microsystems Engineering, Manufacturing Engineering, Mechanical Engineering",Full-time,"Masters, Bachelors","Northeast, Southeast",,2,"Monday, September 24th",Yes,,,CC
Urban Science,http://www.urbanscience.com/,"Computer Engineering, Computer Science, Industrial and Operations Engineering","Full-time, Summer Internship","Masters, Bachelors","West Coast, Northeast, Midwest",https://careers-urbanscience.icims.com/jobs/intro,2,"Tuesday, September 25th",No,"We are Urban Science. We utilize scientific analysis, process-optimizing software and experienced consultants to deliver solutions that help automotive clients increase market share and boost profitability through high performing retail networks. As proof, our automotive retail performance experts guide virtually every OEM in 60 countries worldwide. Today, more than 800 Urban Science employees are moving ahead in offices that span the Americas, Europe, Asia, and Australia.",,CC
URS Energy Construction,www.urscorp.com,"Chemical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering, Mechanical Engineering, Nuclear Engineering and Radiological Sciences","Full-time, Summer Internship, Co-Op","Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",,2,"Tuesday, September 25th",No,"URS Corporation is a leading provider of engineering, construction and technical services for public agencies and private sector companies around the world. The Company offers a full range of program management; planning, design and engineering; systems engineering and technical assistance; construction and construction management; operations and maintenance; and decommissioning and closure services for power, infrastructure, industrial and commercial, and federal projects and programs.",,CO
US DOT Small Business Transportation Resource Center (Great Lakes Region),http://www.osdbu.dot.gov/WG,"Civil Engineering, Electrical Engineering, Environmental Engineering, Interdisciplinary Engineering (Undergraduate), Mechanical Engineering",Co-Op,,Midwest,http://www.osdbu.dot.gov/WG/applications.cfm,1,"Tuesday, September 25th",Yes,"US DOT's Entrepreneurial Training Women and Girls Internship Program goals are to increase the participation of women in the transportation industry and prepare young women to become our nation's future leaders. Applicants will be selected based on a four part process: GPA - 2.8 or higher to qualify, Letter of interest from the student, Letter of Recommendation, and Interview",,PC
US Environmental Protection Agency,epa.gov/otaq,"Chemical Engineering, Electrical Engineering, Environmental Engineering, Mechanical Engineering","Summer Internship, Co-Op","PhD, Masters, Bachelors",Midwest,,3,"Tuesday, September 25th",No,"EPA's Office of Transportation and Air Quality protects public health and the environment by regulating air pollution from motor vehicles, engines, and the fuels used to operate them, and by encouraging travel choices that minimize emissions. These ""mobile sources"" include cars and light trucks, heavy trucks and buses, nonroad engines, equipment, and vehicles.",,EECS
US Nuclear Regulatory Commission,US NRC.gov,"Chemical Engineering, Civil Engineering, Electrical Engineering, Mechanical Engineering, Nuclear Engineering, Materials Science Engineering, Radiological Science, Environmental Engineering","Full-time, Summer Internship","Masters, Bachelors","Southwest, Northeast, Southeast",,3,"Monday, September 24th",No,"The mission of the U.S. Nuclear Regulatory Commission is to license and regulate the nation's civilian use of byproduct, source, and special nuclear materials in order to ensure the adequate protection of public health and safety, promote the common defense and security, and to protect the environment.",,GA
USAA,www.usaa.com,"Computer Science, Electrical Engineering, Mechanical Engineering","Full-time, Summer Internship",,Southwest,,2,"Monday, September 24th",Yes,"As a Fortune 200 financial services company with more than $113.5 billion in owned and managed assets, USAA is on a mission - to facilitate the financial security of our members, the men and women of the U.S. military and their families worldwide. Headquartered on a showcase campus in San Antonio, TX, USAA attributes its long-standing success to its most valuable resource, our 22,000 employees. They are the heart and soul of our member-service culture.",,GA
Vector CANtech,www.vector.com,"Computer Engineering, Computer Science, Electrical Engineering","Full-time, Co-Op",Bachelors,Midwest,,1,"Tuesday, September 25th",No,"Vector is the leading provider of software tools, embedded software components and service to all the major automotive OEMs, worldwide, and their suppliers. Vector also serves the agricultural, heavy truck and aerospace industries as well as other related industries. Vector tools equip engineers with the finest capabilities for design, diagnostics, calibration and testing of distributed networking systems.",,DC
"ViaSat, Inc.",www.viasat.com,"Computer Engineering, Computer Science, Electrical Engineering, Industrial and Operations Engineering, Mechanical Engineering","Full-time, Summer Internship","PhD, Masters","West Coast, Southwest, Northeast, Midwest, Southeast","For full-time positions, visit www.viasat.com/careers/openings. For intern positions, submit resume and unofficial transcript to collegecareers@viasat.com",2,"Tuesday, September 25th",No,"ViaSat produces innovative satellite and other digital communication products that enable fast, secure, and efficient communications to any location. We bring today's new communication applications to people out of reach of terrestrial networks, in both the commercial and government sectors, with a variety of networking products and services.",,DC
VMware,www.vmware.com,"Computer Engineering, Computer Science, Electrical Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors","West Coast, Northeast",http://www.vmware.com/jobs/university-relations/,1,"Tuesday, September 25th",Yes,"Virtualization is the technology that has changed the way we think about computing. VMware (NYSE: VMW), the global leader in cloud infrastructure, delivers customer-proven virtualization solutions that significantly reduce IT complexity. VMware accelerates an organization's transition to cloud computing, while preserving existing IT investments and enabling more efficient, agile service delivery without compromising control. With annual 2010 revenues of $2.9 billion, more than 250,000 customers and 25,000 partners, VMware helps organizations of all sizes lower costs, preserve freedom of choice and energize business through IT while saving energy—financial, human and the Earth's. Our award-winning technology, market-leading position and culture of excellence provide our 9,000+ employees in 40+ locations worldwide with a platform for professional growth and the excitement of being an early-stage innovator.",,PC
VMware,www.vmware.com,"Computer Science, Electrical Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors","West Coast, Northeast",,1,"Tuesday, September 25th",Yes,"VMware, the global leader in virtualization and cloud infrastructure, delivers customer-proven solutions that accelerate IT by reducing complexity and enabling more flexible, agile service delivery. VMware enables enterprises to adopt a cloud model that addresses their unique business challenges. With more than 300,000 customers and 25,000 partners, VMware solutions help organizations of all sizes lower costs, increase business agility and ensure freedom of choice.",,DC
W.W. Grainger,www.grainger.com,Industrial and Operations Engineering,"Full-time, Summer Internship",Bachelors,Midwest,,1,"Tuesday, September 25th",Yes,"With 2011 sales of $8.1 billion, Grainger is the leading broad line supplier of facilities maintenance products in North America with operations in U.S., Mexico, Canada, Asia, Europe, and Latin America. Grainger serves 2.0 million customers through a network of nearly 711+ branches and 27 distribution centers.",,PC
